gene,lasso_coef
GAS2,0.05363430203539053
CNNM4,-0.05120106464933758
FREM3,-0.03418803756308418
DPP6,-0.03023787843860813
SPOP,-0.02992527570683361
TSPEAR,0.023300775773170298
FKRP,-0.019283806247628665
NFE2,0.017011240912445633
PTGS1,0.01616092116714609
FXYD4,-0.016005651823269167
SLC8A3,0.014166933211616854
BHLHE22,0.012262952614497285
SYT13,-0.011939441541656801
ZFYVE9,-0.01182798057415475
TRIM5,-0.011775495454091105
SLC30A4,-0.011658490085921293
GPC4,-0.011341960560027434
GGT7,-0.011117735177923926
EEPD1,-0.010717550432294517
ADAMTS13,-0.010090975170257312
CMAS,0.009496868046688466
ANGPTL1,-0.00929227436120351
SF3B3,-0.008246429642238972
PRPH,-0.007224315058562872
PCDH11Y,-0.00581594358700436
TMBIM4,0.005517491283862289
SLC37A1,-0.0035706435882259563
TCP11L2,-0.003365408403318944
ISLR2,0.003148441965248468
PGM1,-0.0030020014348259984
DCLRE1B,-0.0016138865554709834
UBR7,-0.001089198581141761
MTPN,0.00018619221131958418
FGG,0.0001286759934062076
