gene,log2FC,U_stat,pvalue,qvalue,neg_log10_q,significant,direction
BHLHE22,1.0042133419614316,19027.0,8.407745770811222e-19,1.2762958080091435e-14,13.894048657199976,True,up_COPD
CNNM4,-0.2936527712444832,5135.0,6.466086564288696e-17,4.90775970229512e-13,12.309116709702588,False,ns
DPP6,-1.2002370764937558,5301.0,3.6174360661176774e-16,1.830422649455545e-12,11.737448618940007,True,down_COPD
C19orf33,-0.45860221609039087,5374.0,7.611808613780905e-16,2.8886813689298536e-12,11.539300359625901,False,ns
FOLR1,-0.4528117154574023,5521.0,3.3226742082233938e-15,1.0087638896166223e-11,10.996210472450963,False,ns
ST6GALNAC5,-0.5850761955893624,5549.0,4.383124706084317e-15,1.1089305506393321e-11,10.955095651703461,False,ns
ARHGAP44,-0.3124427139031756,5588.0,6.433849628825185e-15,1.3593943383397136e-11,10.86665454317714,False,ns
ZFYVE9,-0.4038780958409305,5611.0,8.059650227310556e-15,1.3593943383397136e-11,10.86665454317714,False,ns
CYP1B1,1.0126660274246007,18154.0,7.674966965650761e-15,1.3593943383397136e-11,10.86665454317714,True,up_COPD
KIAA1199,0.883639563316339,18097.0,1.3373215527642078e-14,1.845503742814607e-11,10.73388506968692,False,ns
EMP2,-0.5684479256253425,5659.0,1.2864043931084192e-14,1.845503742814607e-11,10.73388506968692,False,ns
SLC5A1,-0.8676928498367076,5673.0,1.47341325112416e-14,1.8638677626720624e-11,10.729584903129592,False,ns
FARP1,-0.28467472084138556,5800.0,4.9789243205968615e-14,5.813851629743105e-11,10.235536055676368,False,ns
ITGA3,-0.39150328743331464,5842.0,7.407946553858624e-14,7.711866457696642e-11,10.112840499487435,False,ns
GRAMD2,-0.5980133938537495,5845.0,7.620421400886009e-14,7.711866457696642e-11,10.112840499487435,False,ns
ERBB2,-0.29303132120067943,5884.0,1.0992402609197811e-13,9.815568918095457e-11,10.008084523284662,False,ns
SEC22B,0.21234979765021578,17878.0,1.0788399045861228e-13,9.815568918095457e-11,10.008084523284662,False,ns
ASB9,-0.3954426580734758,5940.0,1.8527947202194822e-13,1.5625235473850965e-10,9.806173429073581,False,ns
GALNTL4,-0.4541247114788156,6022.0,3.945659472016249e-13,3.1523742518529817e-10,9.50136222840772,False,ns
VEGFA,-0.5554181347763247,6046.0,4.913302593949041e-13,3.7291966688073217e-10,9.428384712394786,False,ns
UXS1,-0.22646973712130603,6065.0,5.841355526291792e-13,4.141917475225889e-10,9.38279855836653,False,ns
MARVELD2,-0.4435583712475708,6068.0,6.002778949602737e-13,4.141917475225889e-10,9.38279855836653,False,ns
SEPW1,-0.22899035705758664,6096.0,7.737438018844453e-13,4.893929546919117e-10,9.3103422870489,False,ns
CAPN2,-0.2631604997077126,6092.0,7.462442873969877e-13,4.893929546919117e-10,9.3103422870489,False,ns
FREM3,-1.182841766618992,6108.0,8.623714421332586e-13,5.236319396633147e-10,9.280973870913344,True,down_COPD
CAV1,-0.4996503625641733,6126.0,1.0142724019153065e-12,5.805993198955671e-10,9.236123477229414,False,ns
SLC16A5,-0.3345788639663514,6128.0,1.032686537363657e-12,5.805993198955671e-10,9.236123477229414,False,ns
TMEM125,-0.447429676428289,6183.0,1.6899625316168672e-12,9.085728443460414e-10,9.041640247630252,False,ns
CLEC4A,0.34589926060085396,17574.0,1.7357452230589724e-12,9.085728443460414e-10,9.041640247630252,False,ns
S100A10,-0.31260774476137776,6194.0,1.8639016041267963e-12,9.43134211688159e-10,9.025426501061064,False,ns
TMEM43,-0.19426220179189002,6201.0,1.983596576320183e-12,9.713224525335604e-10,9.012636572245643,False,ns
DAPK2,-0.5111008888144912,6215.0,2.2460708269101022e-12,1.06547984851548e-09,8.972454759709787,False,ns
FANCC,-0.2526925481570128,6233.0,2.634041792404661e-12,1.2116592245061441e-09,8.91661950700673,False,ns
TLR1,0.39271210101534315,17514.0,2.954366156244896e-12,1.3190375956411036e-09,8.879742825873812,False,ns
TNNC1,-0.5600932936109135,6255.0,3.1982298463856534e-12,1.3871179733752635e-09,8.857886600925944,False,ns
HIP1,-0.2924388473986239,6275.0,3.812949438926354e-12,1.5643397968351906e-09,8.80566890609588,False,ns
PRKCZ,-0.32297464475225013,6273.0,3.746587418817494e-12,1.5643397968351906e-09,8.80566890609588,False,ns
FAM46B,-0.5483952342614753,6398.0,1.1093501481024836e-11,4.4315619074199215e-09,8.353443179370363,False,ns
GAS2,0.6950334663809281,17347.0,1.2616979659200503e-11,4.91091669811958e-09,8.308837432566387,False,ns
ROR1,-0.3005775071007406,6428.0,1.434470438508761e-11,5.443815314140747e-09,8.264096617012072,False,ns
SLITRK2,-0.9759487916177676,6443.0,1.6303560039526216e-11,6.036293692683121e-09,8.21922963801363,False,ns
KIAA1328,-0.2390060237266125,6451.0,1.7453027025075587e-11,6.308022624777319e-09,8.200106757670603,False,ns
TCP11L2,-0.38986238247405147,6462.0,1.9163935128146134e-11,6.724782679900531e-09,8.17232174588987,False,ns
RPL23AP7,0.13851095480206865,17296.0,1.9492123709856613e-11,6.724782679900531e-09,8.17232174588987,False,ns
COMP,1.226928748515519,17288.0,2.0861285489165025e-11,7.037206971678335e-09,8.152599675726055,True,up_COPD
AGER,-0.6239658440514741,6481.0,2.2514177492798368e-11,7.429678572623461e-09,8.12902997455107,False,ns
FXYD4,-0.7396071131473372,6484.0,2.3093003039328903e-11,7.458548641213037e-09,8.127345673658048,False,ns
PDK1,0.4924850090570665,17257.0,2.711296049605942e-11,8.574473756878792e-09,8.06679252452097,False,ns
ADAMTS13,-0.33904591523423555,6506.0,2.7807257319088455e-11,8.614574818444137e-09,8.064766152755748,False,ns
SEMA3B,-0.41955075482858994,6521.0,3.1548791745816275e-11,9.390405072578255e-09,8.027315673230042,False,ns
CTNNA1,-0.17886186591932862,6520.0,3.128495599359509e-11,9.390405072578255e-09,8.027315673230042,False,ns
CDH16,-0.7550299863204195,6543.0,3.7942882375578226e-11,1.1076402970409182e-08,7.955601252579626,False,ns
SYT13,-1.343766175862322,6548.0,3.956424256490327e-11,1.1331796266702484e-08,7.945701242220986,True,down_COPD
FAM189A2,-0.45673302183768705,6568.0,4.6754467217081416e-11,1.3143200228801777e-08,7.881298875834845,False,ns
PNOC,0.9521652462756922,17187.0,4.8743011385777364e-11,1.3453071142474552e-08,7.871178561165154,False,ns
SCD5,-0.32130954239245746,6582.0,5.2532761064899404e-11,1.3628925751720112e-08,7.865538374428444,False,ns
RPS19,0.21506230688235206,17181.0,5.123809979607372e-11,1.3628925751720112e-08,7.865538374428444,False,ns
KRT4,-0.9655426981013235,6583.0,5.2971450550163806e-11,1.3628925751720112e-08,7.865538374428444,False,ns
EPN2,-0.2678724133594166,6583.0,5.2971450550163806e-11,1.3628925751720112e-08,7.865538374428444,False,ns
GPR39,-0.3188951599024774,6586.0,5.4308522053257743e-11,1.374005607947421e-08,7.8620114947177715,False,ns
TGFBR3,-0.410982882686147,6594.0,5.803731098986475e-11,1.4442727554526998e-08,7.840350781141795,False,ns
CPVL,0.3993344610382952,17142.0,7.079120657759378e-11,1.7332427674965705e-08,7.761140603356442,False,ns
DERL2,0.13450421046345795,17128.0,7.945678722208276e-11,1.914530206398756e-08,7.717937777204092,False,ns
AHNAK,-0.3500911964887905,6634.0,8.077680607197739e-11,1.9159248690197137e-08,7.717621525325275,False,ns
RADIL,-0.42628215968802863,6651.0,9.289436133551741e-11,2.1694406231894684e-08,7.663652231856067,False,ns
RALGDS,-0.40052372724690066,6654.0,9.521028665696438e-11,2.1898365931101807e-08,7.659588291259551,False,ns
MPEG1,0.3558378709765986,17102.0,9.838570030675924e-11,2.229096911427769e-08,7.651871049876247,False,ns
KCNMB4,-0.5364416461715447,6666.0,1.0505019676278764e-10,2.3450911571457595e-08,7.629840270954895,False,ns
PDCL3,-0.14751625833939563,6675.0,1.130754625426715e-10,2.487660175938773e-08,7.604208946245851,False,ns
RGS9BP,-0.7645065038463015,6691.0,1.288483569345059e-10,2.7548141665715488e-08,7.559907692331109,False,ns
KIAA0125,1.1239075533586602,17070.0,1.278029662387202e-10,2.7548141665715488e-08,7.559907692331109,True,up_COPD
ANKRD29,-0.3582619390163231,6705.0,1.4439827338090038e-10,3.0443969304473164e-08,7.5164987246134665,False,ns
AQP1,-0.35615051660022345,6707.0,1.4676442595750052e-10,3.051895871280627e-08,7.51543028831208,False,ns
JUP,-0.24468939901588627,6710.0,1.5038324674789282e-10,3.084888764368937e-08,7.510760491239076,False,ns
EXPH5,-0.39732381467016076,6721.0,1.644229425140057e-10,3.3279203564834754e-08,7.477827075756803,False,ns
